Facility ID,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
160029,IA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
160030,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average
160032,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
160033,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
160040,IA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
160045,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
160047,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
160057,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
160058,IA,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
160064,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
160067,IA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
160069,IA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
160079,IA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
160080,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
