,Facility_ID,State,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_overall_rating,Mortality_national_comparison,Safety_of_care_national_comparison,Readmission_national_comparison,Patient_experience,Effectiveness_of_care_national_comparison,Timeliness_of_care_national_comparison,Efficient_use_of_medical_imaging_national_comparison,Rate_of_readmission_after_discharge,Denominator,Readmission_after_discharge_Score,Lower_Estimate,Higher_Estimate,Care_transition,Cleanliness,Communication_about_medicines,Discharge_information,Doctor_communication,Nurse_communication,Quietness,Staff_responsiveness
969,100288,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1184,15.5,14.2,16.8,1,2,2,2,1,1,1,2
970,100289,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,3041,15.8,14.9,16.9,4,3,3,3,3,4,4,3
971,100290,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,5558,15.9,15.2,16.7,1,2,1,1,1,2,2,2
973,100292,FL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1333,15.9,14.7,17.1,4,3,4,4,3,4,4,4
974,100296,FL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1266,16,14.6,17.5,4,3,2,3,4,3,4,3
976,100299,FL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Better Than the National Rate,2020,14.2,13.3,15.5,3,3,2,3,2,3,2,3
977,100302,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,736,15.4,14.1,16.8,1,1,1,1,1,2,1,1
978,100307,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2040,15.2,14.1,16.4,3,3,2,3,2,3,3,3
980,100314,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,972,16.4,15.1,17.8,4,3,3,2,4,4,4,2
981,100315,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,1569,15.7,14.5,17,5,4,4,4,4,5,5,4
982,100316,FL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1562,15.4,14.3,16.5,4,4,3,2,3,4,4,4
983,100319,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1561,14.8,13.7,16.1,4,4,3,4,3,4,5,4
985,100321,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1803,14.8,13.8,15.9,4,4,3,3,2,3,3,3
1029,110001,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2487,15.2,14.3,16.2,2,2,3,2,3,3,3,3
1030,110002,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,648,17.2,15.5,18.7,4,4,4,3,3,4,4,4
1031,110003,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Worse Than the National Rate,1525,17.3,15.8,18.6,2,3,3,3,3,3,4,3
1032,110005,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,4231,15.7,14.9,16.5,4,4,3,3,3,4,4,3
1033,110006,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2391,16,14.7,17.3,3,2,3,3,3,4,4,3
1034,110007,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,3104,15.4,14.6,16.3,3,2,3,3,2,2,3,3
1035,110008,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2591,15,14.1,16.1,4,4,4,4,4,5,4,4
1036,110010,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,4956,14.9,14.1,15.7,4,3,3,3,4,4,5,3
1037,110011,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2073,16.5,15.4,17.6,3,3,3,3,3,3,4,3
1038,110015,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,550,15.3,14,16.7,3,3,3,2,4,4,4,3
